item_id,timestamp,device_type,device_id,user_ip,review_title,review_text,review_stars
667i,2020-01-18 12:22:25,device4,4d,169.241.211.152,review9,,Review does not exist!
962i,2019-12-09 12:41:09,device20,20d,192.179.172.18,review4,very bad,1
1139i,2020-04-20 23:23:34,device8,8d,5.91.92.242,review1,very bad,1
52i,2020-04-02 06:49:52,device11,11d,192.88.101.37,review4,very bad,1
968i,2020-05-24 18:22:46,device2,2d,203.1.176.127,review4,awesome,Review does not exist!
713i,2020-03-08 14:06:04,device4,4d,198.109.209.146,review7,very good,4
837i,2020-01-07 08:45:10,device11,11d,203.0.123.122,review4,,Review does not exist!
333i,2020-02-08 08:42:29,device2,2d,62.233.101.78,review7,awesome,Review does not exist!
552i,2020-04-06 10:38:28,device1,1d,198.5.86.100,review4,,Review does not exist!
1058i,2020-05-21 04:51:02,device11,11d,192.1.73.185,review1,great,5
802i,2020-04-02 17:00:22,device13,13d,198.51.102.236,review6,awesome,Review does not exist!
907i,2020-03-17 21:42:15,device20,20d,197.40.33.43,review7,very bad,1
621i,2019-12-12 10:39:20,device2,2d,95.17.253.64,,very good,4
814i,2020-02-10 02:26:16,device13,13d,168.248.132.77,review2,bad,2
425i,2020-04-19 16:13:07,device9,9d,192.164.24.254,review8,good,3
1025i,2020-02-22 19:06:40,device12,12d,192.88.98.205,review1,bad,2
164i,2020-03-22 16:47:47,device5,5d,202.241.216.208,review3,super,Review does not exist!
763i,2019-11-20 16:23:11,device16,16d,101.130.153.80,review5,awesome,Review does not exist!
1054i,2020-02-14 14:53:23,device8,8d,192.95.210.106,review9,,Review does not exist!
322i,2020-04-07 18:27:44,device4,4d,192.168.82.198,review4,very bad,1
188i,2020-03-16 11:06:20,device14,14d,215.7.39.163,review4,very good,4
165i,2020-05-22 16:35:55,device16,16d,192.52.194.234,review1,very bad,1
994i,2020-02-16 13:28:49,device14,14d,198.16.218.79,review3,awful,Review does not exist!
1115i,2020-01-03 21:20:11,device15,15d,203.4.225.114,review6,good,3
22i,2020-05-21 15:48:05,device12,12d,192.51.153.185,review6,,Review does not exist!
361i,2020-01-09 08:35:51,device10,10d,100.12.71.116,review7,very good,4
365i,2019-12-01 16:35:54,device5,5d,195.127.117.33,review2,awful,Review does not exist!
1085i,2019-11-30 09:53:33,device10,10d,192.175.50.57,review1,bad,2
332i,2020-01-28 16:51:29,device13,13d,198.9.203.235,review6,very bad,1
216i,2019-12-18 10:41:46,device12,12d,16.153.176.241,review6,bad,2
872i,2020-05-12 08:26:16,device9,9d,192.30.246.174,review5,very bad,1
707i,2020-01-27 20:24:03,device1,1d,198.29.224.147,review1,great,5
570i,2019-11-13 00:24:10,device2,2d,202.186.98.106,review1,awesome,Review does not exist!
552i,2020-05-03 09:18:26,device6,6d,192.52.203.139,review4,bad,2
181i,2019-11-28 07:57:16,device20,20d,51.183.10.180,review10,very bad,1
1250i,2019-11-12 14:37:03,device11,11d,203.1.129.96,review4,,Review does not exist!
1120i,2020-04-11 16:50:35,device17,17d,192.52.216.131,review4,good,3
1243i,2020-03-27 12:37:48,device5,5d,192.175.49.126,review9,good,3
16i,2020-04-11 23:50:53,device8,8d,163.96.178.175,review1,awesome,Review does not exist!
1023i,2020-03-01 12:19:43,device8,8d,192.88.97.31,review10,awesome,Review does not exist!
207i,2019-12-18 13:41:27,device1,1d,198.51.96.86,review10,bad,2
1006i,2020-01-22 02:57:11,device16,16d,192.52.185.2,review5,great,5
1207i,2020-02-27 05:22:58,device17,17d,29.102.116.74,review6,bad,2
123i,2020-02-03 05:34:06,device4,4d,192.175.16.253,review5,super,Review does not exist!
656i,2020-01-18 02:59:39,device18,18d,192.90.51.21,review10,,Review does not exist!
399i,2019-11-19 00:36:32,device18,18d,169.89.63.213,review6,super,Review does not exist!
1278i,2019-12-31 23:11:45,device12,12d,192.207.122.176,review8,bad,2
52i,2020-05-29 19:04:19,device9,9d,192.51.201.68,review2,super,Review does not exist!
588i,2020-01-12 18:41:22,device14,14d,203.0.114.211,review7,good,3
913i,2019-11-17 13:29:46,device18,18d,192.55.97.240,review1,,Review does not exist!
303i,2020-02-01 21:24:34,device10,10d,192.0.11.171,,good,3
1007i,2020-01-01 06:49:19,device13,13d,101.250.20.102,review1,very good,4
792i,2020-02-23 13:29:27,device16,16d,99.91.155.149,,good,3
1204i,2020-06-04 19:55:22,device16,16d,192.52.195.113,review5,good,3
1275i,2020-04-03 16:50:21,device17,17d,92.250.128.153,review7,,Review does not exist!
479i,2020-04-02 06:37:35,device10,10d,192.49.112.255,review5,awful,Review does not exist!
1199i,2020-01-16 11:45:21,device17,17d,169.253.137.183,review3,very bad,1
249i,2019-12-14 22:42:01,device9,9d,200.19.200.189,review9,awful,Review does not exist!
692i,2020-04-27 21:58:27,device13,13d,203.0.33.252,review6,awful,Review does not exist!
96i,2020-04-30 23:43:59,device9,9d,193.77.223.179,review6,awful,Review does not exist!
1196i,2019-11-23 00:55:49,device14,14d,192.38.42.74,review6,awesome,Review does not exist!
259i,2020-06-03 04:04:24,device5,5d,192.169.118.35,review9,awesome,Review does not exist!
342i,2020-03-25 00:36:35,device19,19d,198.60.32.36,review9,bad,2
570i,2020-06-08 18:45:10,device6,6d,192.89.67.133,review4,bad,2
1153i,2020-04-28 10:22:08,device17,17d,19.130.4.46,review6,,Review does not exist!
1104i,2020-03-20 20:02:58,device8,8d,192.175.51.42,review3,great,5
312i,2020-03-15 07:55:52,device5,5d,169.253.195.22,review2,great,5
933i,2020-01-30 14:28:58,device20,20d,198.51.119.145,review2,very good,4
168i,2020-02-02 14:11:03,device12,12d,192.31.124.58,,very good,4
1062i,2020-04-26 19:57:14,device2,2d,169.235.22.76,review1,,Review does not exist!
924i,2020-03-01 06:12:36,device19,19d,198.51.114.226,review9,very bad,1
384i,2020-01-13 06:50:55,device3,3d,198.217.80.251,review8,very bad,1
158i,2020-01-01 23:24:29,device4,4d,168.8.163.113,review5,great,5
714i,2020-02-27 03:48:00,device14,14d,169.253.56.248,review8,good,3
937i,2019-12-12 05:33:22,device12,12d,192.175.24.19,review5,awful,Review does not exist!
297i,2020-02-17 00:56:47,device13,13d,192.52.148.104,,very good,4
49i,2020-04-30 01:28:27,device2,2d,100.225.102.187,review6,awful,Review does not exist!
658i,2019-12-14 02:49:56,device1,1d,192.15.2.131,review10,super,Review does not exist!
615i,2020-04-08 10:23:47,device4,4d,169.248.202.227,review3,,Review does not exist!
1256i,2020-03-01 13:12:08,device8,8d,192.54.48.206,review7,good,3
381i,2020-03-06 09:33:14,device4,4d,203.0.88.99,review9,good,3
574i,2020-05-05 05:56:24,device3,3d,192.88.98.165,review2,good,3
854i,2020-03-28 11:31:53,device14,14d,192.6.209.23,review9,very good,4
133i,2019-12-26 16:31:14,device14,14d,192.3.167.151,review1,super,Review does not exist!
1289i,2020-03-07 21:08:52,device5,5d,14.149.148.147,,bad,2
791i,2020-02-10 07:00:19,device18,18d,173.55.124.112,,super,Review does not exist!
651i,2020-05-14 20:11:43,device20,20d,203.1.253.30,,great,5
979i,2020-03-19 17:41:03,device12,12d,140.151.49.98,review9,bad,2
918i,2019-11-13 17:32:43,device16,16d,192.44.154.161,review8,awesome,Review does not exist!
1190i,2020-05-11 20:04:04,device9,9d,101.193.40.179,review6,bad,2
59i,2020-05-12 13:42:02,device3,3d,203.6.143.1,review5,great,5
421i,2019-12-24 18:39:37,device4,4d,192.88.79.89,review7,very bad,1
985i,2020-01-04 05:57:49,device1,1d,192.174.184.47,review10,very good,4
602i,2020-03-07 10:38:56,device20,20d,192.31.219.5,review10,awesome,Review does not exist!
716i,2020-03-08 13:57:59,device6,6d,192.0.3.169,review7,very bad,1
931i,2020-01-15 04:46:14,device8,8d,193.14.23.20,review4,bad,2
837i,2020-04-20 08:14:19,device11,11d,101.18.51.49,review8,,Review does not exist!
112i,2020-01-04 05:16:07,device14,14d,192.31.155.122,review8,awful,Review does not exist!
874i,2020-04-20 13:34:46,device5,5d,4.25.191.46,review5,great,5
715i,2020-03-27 05:22:15,device16,16d,198.51.103.49,review4,very bad,1
221i,2020-05-19 03:02:45,device2,2d,97.67.15.101,review7,super,Review does not exist!
106i,2020-03-31 18:50:18,device2,2d,192.0.1.215,review3,awesome,Review does not exist!
818i,2019-11-28 10:28:08,device12,12d,129.46.232.229,review7,super,Review does not exist!
1121i,2020-04-25 16:03:11,device6,6d,156.22.248.170,,very bad,1
1245i,2019-11-26 21:30:32,device10,10d,169.136.220.16,review10,very bad,1
498i,2020-04-02 04:14:01,device20,20d,192.175.238.48,,super,Review does not exist!
271i,2020-01-15 11:14:55,device11,11d,192.1.68.58,review1,super,Review does not exist!
907i,2019-11-17 03:07:56,device4,4d,192.0.234.7,review7,very bad,1
1236i,2020-04-25 05:08:50,device8,8d,192.175.98.86,review1,very good,4
1115i,2020-04-23 11:29:55,device20,20d,12.85.15.232,review6,very good,4
1042i,2020-03-26 09:21:28,device20,20d,192.52.192.218,review6,very good,4
619i,2020-04-01 13:46:09,device6,6d,198.51.97.65,review6,bad,2
1204i,2019-11-14 04:39:51,device2,2d,192.52.112.158,review6,very bad,1
1133i,2020-03-04 04:52:12,device15,15d,200.229.155.148,,very good,4
932i,2020-01-29 02:23:30,device13,13d,192.175.83.242,,super,Review does not exist!
526i,2019-11-15 00:29:01,device15,15d,203.0.116.69,review5,,Review does not exist!
1110i,2020-05-20 07:59:14,device6,6d,51.253.230.96,review8,great,5
1001i,2019-12-04 08:36:44,device3,3d,169.154.100.53,,awful,Review does not exist!
586i,2020-03-06 08:10:06,device6,6d,195.229.252.196,review4,super,Review does not exist!
744i,2019-11-19 21:30:10,device7,7d,192.55.238.72,review6,great,5
44i,2019-12-19 00:46:24,device16,16d,3.199.143.218,review6,awesome,Review does not exist!
1019i,2020-04-30 13:20:31,device5,5d,169.248.6.40,review7,bad,2
1079i,2020-02-09 08:23:40,device18,18d,146.196.102.219,,awesome,Review does not exist!
936i,2020-01-08 15:35:49,device5,5d,198.22.3.179,review8,super,Review does not exist!
940i,2020-01-22 21:23:08,device17,17d,192.175.58.210,review5,super,Review does not exist!
701i,2020-05-12 08:42:49,device11,11d,199.213.160.113,review7,awesome,Review does not exist!
126i,2020-06-05 11:44:05,device2,2d,203.0.112.196,review2,good,3
678i,2019-12-10 15:55:16,device5,5d,199.113.18.253,review5,bad,2
1197i,2020-01-05 17:08:05,device13,13d,203.20.213.156,review4,super,Review does not exist!
417i,2019-12-08 06:07:22,device3,3d,192.4.55.140,review4,awful,Review does not exist!
146i,2019-12-01 20:44:56,device5,5d,192.31.184.88,review3,awesome,Review does not exist!
527i,2019-11-13 15:22:55,device20,20d,192.30.153.115,review5,super,Review does not exist!
287i,2020-03-14 15:05:26,device13,13d,192.52.183.25,review9,super,Review does not exist!
381i,2020-02-14 11:29:06,device8,8d,192.142.244.67,review4,good,3
667i,2020-05-28 14:32:42,device10,10d,200.245.202.190,review5,super,Review does not exist!
967i,2020-02-14 00:23:04,device8,8d,198.52.34.2,review7,,Review does not exist!
536i,2020-02-22 18:36:15,device7,7d,192.52.216.186,review8,bad,2
50i,2020-01-16 10:29:56,device10,10d,100.6.64.217,review2,super,Review does not exist!
1272i,2020-06-07 15:53:51,device19,19d,203.119.123.79,review7,awesome,Review does not exist!
646i,2019-11-14 13:42:08,device1,1d,27.232.183.83,review1,bad,2
42i,2020-01-19 06:44:11,device9,9d,108.195.16.104,,super,Review does not exist!
898i,2020-04-20 18:19:07,device10,10d,198.51.71.214,review5,very good,4
195i,2020-03-30 17:16:01,device14,14d,101.213.39.208,,good,3
256i,2020-01-27 09:58:52,device10,10d,203.0.112.170,,super,Review does not exist!
976i,2020-03-02 01:40:53,device14,14d,192.31.198.241,review10,very bad,1
919i,2020-05-10 18:40:10,device4,4d,15.101.68.28,review2,great,5
1002i,2020-04-24 06:37:47,device4,4d,192.0.240.229,review6,good,3
98i,2020-03-18 16:38:15,device20,20d,192.52.199.112,review10,super,Review does not exist!
135i,2020-01-10 02:17:30,device15,15d,198.29.113.193,review7,very good,4
768i,2020-02-28 19:54:22,device8,8d,192.54.77.233,,very good,4
556i,2020-04-28 00:50:43,device3,3d,198.48.92.31,review4,very bad,1
638i,2020-02-19 01:40:18,device17,17d,198.56.56.0,,very bad,1
676i,2020-04-12 07:49:21,device5,5d,198.51.250.28,review2,super,Review does not exist!
541i,2020-01-06 16:53:55,device2,2d,10.47.252.212,review7,very good,4
742i,2019-11-22 18:24:41,device12,12d,192.7.33.21,review5,very bad,1
703i,2020-04-08 13:12:32,device20,20d,101.185.79.142,review9,awful,Review does not exist!
1253i,2020-05-24 18:40:32,device16,16d,14.3.119.91,review3,great,5
872i,2020-05-25 17:24:19,device19,19d,203.0.119.146,review5,great,5
439i,2020-01-23 17:59:46,device14,14d,1.175.231.120,review8,,Review does not exist!
1234i,2019-11-17 23:10:34,device8,8d,192.190.97.44,review8,,Review does not exist!
120i,2020-01-23 08:40:26,device2,2d,192.31.221.57,review3,awesome,Review does not exist!
608i,2020-03-04 01:58:35,device7,7d,169.250.40.47,review8,great,5
246i,2019-11-13 12:20:56,device17,17d,203.44.197.107,review9,great,5
203i,2020-04-06 23:06:22,device17,17d,169.193.156.85,review3,awesome,Review does not exist!
560i,2020-06-08 13:23:02,device19,19d,198.52.127.66,review9,very bad,1
84i,2019-12-29 14:20:51,device8,8d,198.51.114.33,review2,great,5
83i,2020-05-27 09:30:21,device17,17d,192.115.201.43,review5,bad,2
389i,2020-04-05 05:53:24,device8,8d,203.26.138.136,review9,super,Review does not exist!
911i,2020-01-11 19:42:11,device17,17d,42.62.189.9,review7,awful,Review does not exist!
215i,2020-06-03 04:51:02,device16,16d,195.150.103.214,review5,very bad,1
466i,2020-02-06 22:19:19,device15,15d,192.88.244.216,review3,awful,Review does not exist!
943i,2020-04-10 08:42:51,device5,5d,192.31.209.101,review7,awful,Review does not exist!
648i,2020-01-01 05:13:08,device7,7d,104.60.230.241,review5,very bad,1
448i,2020-04-29 00:47:56,device14,14d,192.52.195.169,review4,bad,2
250i,2019-12-09 22:05:45,device1,1d,192.31.241.226,,great,5
783i,2019-12-08 12:15:33,device10,10d,192.52.233.52,review8,awesome,Review does not exist!
500i,2020-02-07 05:16:33,device3,3d,212.0.119.177,review1,good,3
109i,2020-05-28 05:04:18,device7,7d,169.179.107.75,review2,awful,Review does not exist!
963i,2019-11-23 21:50:46,device7,7d,198.3.140.245,review3,,Review does not exist!
63i,2019-12-23 13:40:25,device6,6d,192.0.255.245,review5,very bad,1
717i,2020-04-04 17:04:47,device4,4d,198.51.97.102,,super,Review does not exist!
1238i,2019-11-12 17:33:59,device5,5d,196.197.113.1,review9,awful,Review does not exist!
593i,2020-04-15 23:32:47,device3,3d,192.173.254.220,review6,very bad,1
1268i,2020-04-06 00:33:51,device2,2d,192.31.195.112,,great,5
519i,2019-11-26 00:22:57,device5,5d,198.17.96.182,review5,super,Review does not exist!
903i,2020-03-23 10:43:29,device1,1d,198.49.81.90,review7,awesome,Review does not exist!
646i,2019-12-24 07:00:54,device5,5d,198.52.137.144,review7,,Review does not exist!
187i,2020-04-25 04:25:47,device1,1d,192.0.3.124,review2,good,3
562i,2020-02-28 03:47:12,device19,19d,192.3.43.239,review4,super,Review does not exist!
291i,2019-11-19 07:46:04,device19,19d,203.0.115.87,review1,very bad,1
1267i,2020-01-01 04:09:48,device15,15d,203.0.99.39,review4,very bad,1
790i,2020-02-14 11:22:24,device7,7d,126.216.152.197,review6,very bad,1
986i,2020-01-03 05:29:56,device19,19d,192.0.49.70,review3,great,5
909i,2020-04-23 21:47:44,device12,12d,192.31.204.153,review10,good,3
174i,2020-01-16 00:03:10,device20,20d,126.121.102.86,review1,super,Review does not exist!
1081i,2019-12-10 22:59:33,device8,8d,100.137.159.161,review8,awesome,Review does not exist!
560i,2019-12-04 14:57:50,device11,11d,171.175.153.97,review6,very bad,1
47i,2020-03-30 03:53:00,device13,13d,192.175.123.112,review6,awful,Review does not exist!
870i,2020-05-16 19:11:51,device7,7d,203.0.90.210,,good,3
718i,2020-02-07 05:41:22,device6,6d,192.0.1.33,review4,great,5
154i,2020-04-12 17:02:44,device16,16d,15.148.74.0,review4,awesome,Review does not exist!
1177i,2020-04-10 07:30:51,device7,7d,192.31.195.165,review7,awful,Review does not exist!
150i,2020-03-04 12:58:08,device5,5d,192.52.192.129,review1,great,5
711i,2020-03-09 05:21:48,device17,17d,192.35.208.66,review4,bad,2
247i,2020-05-14 22:09:52,device15,15d,198.36.136.55,review10,good,3
865i,2019-12-13 00:20:16,device4,4d,118.72.120.63,review5,good,3
905i,2020-04-03 21:11:13,device4,4d,198.16.59.8,review10,awesome,Review does not exist!
1035i,2020-01-26 01:44:26,device18,18d,203.49.33.219,review3,very good,4
399i,2020-02-04 23:22:14,device6,6d,98.123.162.111,review5,very bad,1
240i,2020-01-31 07:06:38,device3,3d,101.175.201.37,review10,,Review does not exist!
169i,2020-01-19 18:02:54,device17,17d,192.0.3.153,review8,very good,4
889i,2019-12-22 23:58:59,device2,2d,192.0.3.115,,awful,Review does not exist!
256i,2019-12-19 19:54:49,device9,9d,192.59.206.23,review6,great,5
840i,2020-01-21 14:50:43,device3,3d,192.52.49.174,review9,good,3
1129i,2019-12-06 13:07:09,device10,10d,198.34.82.251,review8,bad,2
817i,2020-01-16 07:09:11,device15,15d,192.52.210.223,review6,awesome,Review does not exist!
430i,2020-05-21 19:14:25,device20,20d,113.177.125.58,,great,5
650i,2020-01-27 04:50:45,device10,10d,192.52.64.151,review3,good,3
236i,2020-06-04 11:49:13,device2,2d,169.156.3.5,review5,awesome,Review does not exist!
1154i,2020-06-08 18:31:17,device1,1d,203.1.31.239,review9,very bad,1
1114i,2020-03-25 18:27:26,device14,14d,198.178.68.173,review8,very good,4
12i,2020-06-05 07:40:54,device20,20d,198.50.82.77,review4,awesome,Review does not exist!
44i,2020-01-27 23:47:36,device6,6d,192.229.224.220,review3,,Review does not exist!
318i,2020-04-14 15:09:06,device7,7d,192.10.203.182,review5,very bad,1
783i,2020-02-15 22:47:38,device10,10d,192.88.97.88,review3,very good,4
304i,2020-05-21 18:33:17,device5,5d,162.123.224.106,review9,,Review does not exist!
1207i,2020-05-27 11:27:04,device18,18d,169.252.224.166,,very bad,1
561i,2020-05-13 19:25:28,device17,17d,192.54.22.142,review6,super,Review does not exist!
1142i,2019-12-04 23:33:28,device6,6d,98.147.27.232,review8,awesome,Review does not exist!
279i,2020-03-05 10:16:14,device12,12d,203.1.117.73,review6,good,3
1214i,2019-11-23 19:33:07,device2,2d,46.33.122.53,review2,good,3
24i,2020-01-17 23:05:59,device16,16d,192.140.178.35,review7,very bad,1
578i,2020-02-17 07:48:24,device4,4d,192.93.121.95,review2,super,Review does not exist!
651i,2020-05-28 14:18:14,device6,6d,192.175.49.171,review7,awesome,Review does not exist!
485i,2020-04-21 12:33:25,device16,16d,192.88.96.105,review10,awful,Review does not exist!
492i,2019-12-02 14:46:36,device4,4d,126.41.254.56,review9,bad,2
463i,2020-03-25 21:53:38,device14,14d,198.51.102.252,review3,,Review does not exist!
380i,2020-02-27 06:01:07,device10,10d,203.0.112.212,review3,good,3
1077i,2019-12-10 02:48:19,device20,20d,198.10.172.134,review3,great,5
1201i,2020-05-09 00:03:01,device3,3d,192.22.68.50,review1,very good,4
1167i,2020-05-15 00:51:19,device14,14d,192.133.47.56,review2,very bad,1
703i,2019-12-16 15:13:46,device14,14d,203.0.114.101,review6,very bad,1
723i,2020-01-23 06:38:56,device17,17d,192.31.195.119,review1,great,5
775i,2020-04-28 03:29:03,device2,2d,192.28.133.250,review10,bad,2
1209i,2020-03-24 06:00:17,device3,3d,201.37.31.181,review2,good,3
549i,2019-12-22 14:31:29,device15,15d,192.88.162.215,review2,super,Review does not exist!
106i,2020-03-27 15:34:27,device20,20d,192.175.14.181,review4,,Review does not exist!
498i,2020-01-23 00:41:33,device4,4d,192.175.52.171,review6,awesome,Review does not exist!
432i,2020-03-18 19:56:30,device19,19d,100.40.45.77,review7,super,Review does not exist!
831i,2020-02-01 03:13:11,device15,15d,192.31.202.117,review4,,Review does not exist!
525i,2019-12-23 06:51:31,device4,4d,192.185.66.102,review4,very bad,1
700i,2020-02-22 06:29:09,device4,4d,192.52.194.154,review7,good,3
421i,2020-05-17 05:20:27,device15,15d,192.30.28.40,review3,good,3
718i,2019-11-30 21:05:37,device13,13d,192.88.75.101,review5,,Review does not exist!
92i,2020-03-06 00:10:52,device12,12d,192.0.119.124,review8,awful,Review does not exist!
312i,2020-05-06 22:49:52,device12,12d,192.31.193.100,review7,awful,Review does not exist!
761i,2020-01-16 04:28:31,device15,15d,119.28.11.227,review8,awful,Review does not exist!
436i,2020-03-25 08:17:24,device4,4d,198.51.111.250,review8,good,3
1152i,2020-06-06 06:46:07,device2,2d,192.174.252.250,review7,very good,4
326i,2020-02-21 03:48:45,device13,13d,202.235.99.97,review2,awful,Review does not exist!
859i,2020-03-08 00:12:00,device20,20d,192.31.222.138,review8,very good,4
444i,2020-06-04 21:40:32,device19,19d,192.175.53.127,review10,great,5
58i,2020-03-19 17:06:46,device5,5d,192.31.197.20,,very good,4
975i,2019-11-19 21:59:38,device1,1d,192.31.197.47,,good,3
2i,2020-01-08 07:45:52,device15,15d,198.91.69.97,,awesome,Review does not exist!
116i,2020-04-23 05:35:26,device1,1d,192.52.188.245,review5,very good,4
148i,2020-03-11 15:50:43,device20,20d,192.130.111.10,review4,great,5
624i,2019-12-17 19:33:53,device14,14d,169.249.150.116,review3,awesome,Review does not exist!
1023i,2020-04-11 12:46:55,device19,19d,192.88.106.72,review2,very good,4
931i,2020-05-15 01:12:30,device11,11d,192.88.103.113,review2,very bad,1
651i,2020-02-27 07:15:21,device6,6d,169.6.57.181,,great,5
168i,2020-04-18 16:36:30,device11,11d,198.4.252.13,review2,super,Review does not exist!
1270i,2020-01-30 12:30:55,device1,1d,171.71.39.22,review1,awful,Review does not exist!
1276i,2020-04-02 12:07:15,device10,10d,170.40.80.109,review5,bad,2
578i,2020-01-30 19:26:38,device18,18d,192.52.194.22,review3,super,Review does not exist!
1033i,2020-02-24 16:26:42,device15,15d,169.232.215.14,review2,very bad,1
452i,2019-12-20 19:21:44,device7,7d,193.11.127.144,review1,very good,4
1104i,2019-12-25 09:12:43,device15,15d,198.51.109.141,review8,,Review does not exist!
1241i,2020-05-22 02:44:37,device2,2d,192.63.251.87,review9,good,3
503i,2020-05-27 08:32:26,device9,9d,198.51.223.217,review4,awful,Review does not exist!
1296i,2020-03-29 09:38:55,device1,1d,200.64.176.62,review6,,Review does not exist!
748i,2020-06-04 09:03:24,device12,12d,1.122.28.165,review8,super,Review does not exist!
115i,2019-12-22 11:26:39,device5,5d,169.255.110.237,review1,awful,Review does not exist!
731i,2020-05-30 20:23:34,device7,7d,192.93.240.151,review3,awesome,Review does not exist!
426i,2020-02-24 20:04:26,device14,14d,100.31.59.187,review1,very good,4
450i,2020-04-25 06:03:40,device15,15d,203.0.127.233,review6,awesome,Review does not exist!
979i,2020-04-28 21:00:28,device10,10d,203.27.227.232,review1,very good,4
510i,2020-03-27 16:39:04,device15,15d,192.88.48.196,review9,very good,4
65i,2020-02-11 00:18:15,device12,12d,192.52.192.137,review7,,Review does not exist!
112i,2020-01-19 18:28:11,device9,9d,199.23.9.153,review4,very bad,1
844i,2019-12-03 21:06:32,device12,12d,198.62.97.92,,awful,Review does not exist!
990i,2019-12-24 11:22:14,device4,4d,192.31.30.209,review1,,Review does not exist!
575i,2020-01-16 20:28:25,device18,18d,192.31.197.91,review6,good,3
719i,2020-04-25 19:58:50,device15,15d,192.175.31.64,review5,very bad,1
9i,2020-05-10 20:47:26,device9,9d,203.0.148.150,review5,very bad,1
911i,2019-12-09 01:20:49,device7,7d,192.169.4.220,review2,bad,2
1197i,2020-02-22 19:52:27,device16,16d,192.31.212.212,review10,super,Review does not exist!
920i,2020-01-25 02:55:32,device11,11d,192.165.99.207,review3,good,3
810i,2020-01-06 11:30:18,device3,3d,192.106.230.194,,very good,4
6i,2020-06-08 06:40:36,device12,12d,169.210.194.9,review7,very good,4
706i,2020-02-13 11:20:42,device4,4d,192.147.29.252,review4,awesome,Review does not exist!
