item_id,title,description,category
560i,title746,description1213,category27
634i,title1130,description664,category32
296i,title701,description1097,category47
711i,title950,description193,category37
170i,title13,description1090,category43
563i,title532,description1067,category13
812i,title334,description359,category21
198i,title466,description474,category11
1190i,title1020,description61,category45
1110i,title384,description824,category21
700i,title1261,description1039,category6
186i,title764,description51,category11
402i,title350,description960,category44
282i,title1252,description140,category48
1222i,title426,description609,category44
480i,title309,description1205,category16
179i,title1005,description1165,category32
315i,title891,description593,category4
302i,title79,description1035,category10
1235i,title1210,description1142,category8
1224i,title987,description1237,category46
761i,title270,description982,category41
1189i,title736,description1188,category10
540i,title1275,description1291,category24
342i,title870,description983,category10
354i,title808,description715,category47
129i,title1258,description778,category2
313i,title762,description611,category22
827i,title1077,description755,category11
1026i,title538,description441,category10
272i,title122,description396,category10
536i,title462,description896,category47
442i,title1115,description1159,category25
79i,title793,description146,category11
541i,title976,description683,category36
1275i,title355,description667,category33
896i,title655,description1109,category41
69i,title301,description1060,category35
1i,title1062,description10,category19
910i,title360,description1165,category16
199i,title878,description890,category15
1027i,title912,description82,category30
1067i,title443,description1284,category11
1088i,title1016,description1033,category10
1248i,title978,description693,category3
670i,title297,description440,category11
704i,title175,description107,category27
909i,title112,description18,category10
174i,title939,description592,category24
1102i,title1247,description908,category20
1135i,title994,description560,category30
992i,title450,description1004,category12
509i,title181,description159,category14
400i,title912,description894,category35
490i,title632,description254,category48
252i,title881,description1187,category13
1189i,title1281,description139,category20
489i,title533,description628,category46
742i,title376,description912,category34
719i,title133,description1204,category24
623i,title277,description325,category21
342i,title916,description1029,category30
897i,title405,description1246,category48
930i,title195,description509,category17
1133i,title39,description177,category11
13i,title770,description408,category42
445i,title720,description701,category42
1105i,title965,description806,category28
275i,title556,description773,category39
826i,title629,description79,category47
1203i,title907,description1005,category26
1072i,title1230,description640,category6
1287i,title873,description1228,category30
33i,title1208,description522,category14
805i,title1027,description378,category5
878i,title121,description1093,category5
381i,title609,description1082,category9
183i,title904,description1279,category34
47i,title1021,description1106,category19
521i,title1238,description653,category33
996i,title1138,description914,category2
219i,title640,description925,category35
507i,title1043,description15,category36
891i,title66,description61,category33
415i,title894,description1179,category26
88i,title232,description56,category32
195i,title302,description284,category46
201i,title707,description813,category15
330i,title839,description39,category31
981i,title256,description637,category40
362i,title180,description147,category40
453i,title1295,description725,category31
730i,title694,description541,category26
994i,title345,description183,category1
850i,title1070,description1011,category23
1172i,title729,description925,category26
1217i,title850,description927,category20
309i,title244,description71,category36
384i,title347,description220,category44
181i,title348,description1116,category5
103i,title1021,description363,category31
963i,title424,description1235,category26
747i,title406,description332,category36
55i,title1124,description953,category25
898i,title1172,description678,category16
1048i,title131,description1063,category6
1048i,title619,description749,category32
976i,title1210,description905,category27
510i,title662,description294,category30
981i,title1055,description163,category13
845i,title1018,description798,category1
795i,title467,description609,category38
53i,title185,description1056,category24
406i,title614,description1044,category45
1114i,title1264,description817,category18
1079i,title397,description1110,category23
914i,title998,description124,category18
90i,title1155,description1061,category2
156i,title34,description112,category25
487i,title1117,description1074,category45
1040i,title1164,description650,category18
721i,title1252,description334,category44
864i,title62,description535,category11
1022i,title1213,description477,category9
466i,title252,description384,category21
899i,title638,description166,category4
900i,title796,description987,category28
744i,title786,description46,category10
800i,title467,description745,category21
587i,title337,description1284,category29
821i,title1222,description236,category41
926i,title931,description41,category33
238i,title1274,description746,category24
999i,title438,description816,category49
981i,title671,description318,category30
169i,title65,description1041,category30
600i,title793,description927,category9
1155i,title1200,description648,category31
95i,title428,description1093,category16
494i,title915,description1152,category32
141i,title1222,description418,category35
91i,title115,description1184,category9
1011i,title963,description1047,category44
911i,title1216,description117,category14
193i,title3,description811,category25
349i,title780,description684,category34
321i,title744,description1190,category7
8i,title863,description160,category9
28i,title734,description999,category32
153i,title1181,description232,category30
780i,title998,description202,category28
416i,title1191,description472,category26
756i,title914,description804,category45
10i,title860,description531,category6
989i,title32,description108,category5
596i,title11,description533,category32
308i,title189,description628,category13
1026i,title1032,description611,category17
1267i,title668,description1258,category3
223i,title795,description14,category15
170i,title1001,description531,category42
586i,title197,description1077,category1
140i,title23,description1084,category28
1266i,title665,description814,category43
668i,title328,description1189,category29
661i,title12,description730,category19
983i,title1230,description805,category30
205i,title829,description1177,category47
1127i,title753,description916,category10
928i,title395,description380,category47
512i,title1090,description921,category12
473i,title647,description1004,category18
302i,title981,description762,category11
460i,title1190,description254,category43
1135i,title718,description862,category31
159i,title838,description932,category46
311i,title995,description129,category33
42i,title1215,description393,category38
56i,title654,description1094,category35
385i,title933,description405,category29
182i,title438,description506,category30
1114i,title1253,description1019,category6
597i,title908,description31,category28
486i,title1210,description213,category25
335i,title352,description851,category4
85i,title418,description98,category26
1298i,title464,description311,category33
361i,title440,description500,category24
1064i,title1153,description976,category14
934i,title194,description1121,category2
391i,title343,description584,category28
941i,title17,description98,category27
539i,title471,description503,category10
574i,title135,description1166,category7
761i,title1222,description750,category5
999i,title920,description1062,category3
1242i,title265,description304,category16
541i,title668,description1100,category17
1003i,title1062,description142,category18
701i,title1159,description508,category27
584i,title1156,description1022,category32
1128i,title826,description902,category24
582i,title988,description136,category33
607i,title733,description936,category31
1259i,title931,description267,category20
838i,title744,description893,category42
1017i,title334,description575,category27
873i,title811,description491,category5
915i,title935,description1160,category33
288i,title142,description1040,category38
337i,title788,description137,category4
534i,title514,description1131,category24
762i,title200,description827,category29
1229i,title650,description1290,category2
276i,title600,description1168,category9
481i,title1052,description1273,category20
751i,title966,description628,category31
157i,title615,description447,category16
1180i,title679,description196,category1
1028i,title530,description781,category21
486i,title139,description1120,category45
728i,title538,description426,category39
769i,title831,description803,category16
1261i,title1262,description575,category12
1202i,title777,description723,category42
83i,title402,description730,category19
2i,title919,description1271,category17
732i,title608,description1068,category45
1010i,title512,description437,category41
960i,title681,description315,category9
428i,title772,description19,category21
1017i,title395,description206,category28
503i,title673,description539,category20
693i,title273,description789,category35
1260i,title445,description1252,category48
8i,title785,description640,category6
419i,title882,description446,category39
338i,title758,description1275,category36
1272i,title595,description225,category6
89i,title634,description395,category45
671i,title265,description496,category25
169i,title1078,description245,category26
10i,title1251,description366,category39
1267i,title834,description151,category12
1284i,title35,description115,category17
1028i,title971,description757,category21
1008i,title1265,description27,category33
233i,title1271,description799,category29
340i,title25,description1175,category9
466i,title849,description278,category6
505i,title1099,description282,category39
167i,title1136,description911,category10
341i,title84,description592,category24
344i,title987,description1075,category6
964i,title11,description501,category20
692i,title307,description892,category32
546i,title1132,description1287,category19
921i,title1217,description171,category8
730i,title544,description404,category46
709i,title873,description491,category5
846i,title301,description1120,category42
257i,title107,description1168,category27
517i,title327,description305,category28
810i,title1118,description986,category41
271i,title764,description711,category15
573i,title25,description1227,category44
788i,title1073,description288,category34
451i,title361,description689,category49
170i,title211,description430,category14
237i,title922,description196,category11
571i,title297,description1050,category32
275i,title114,description984,category42
377i,title173,description1101,category22
154i,title1109,description997,category8
431i,title19,description707,category9
523i,title977,description28,category32
872i,title171,description99,category17
771i,title848,description651,category29
336i,title855,description1196,category49
486i,title427,description180,category32
1071i,title1276,description379,category31
1071i,title1282,description636,category12
594i,title668,description15,category7
401i,title606,description246,category48
819i,title349,description281,category11
1231i,title988,description700,category37
430i,title866,description315,category9
146i,title588,description542,category45
781i,title890,description43,category23
1011i,title63,description37,category47
248i,title238,description1220,category21
296i,title1287,description435,category1
1201i,title1177,description212,category10
1293i,title885,description520,category24
1094i,title680,description790,category31
1189i,title624,description1201,category18
525i,title714,description602,category48
650i,title931,description1208,category34
1100i,title462,description36,category22
1295i,title1003,description186,category3
990i,title963,description321,category34
1206i,title2,description201,category35
1225i,title1265,description1257,category9
941i,title535,description1092,category11
889i,title64,description524,category15
101i,title438,description1178,category11
1230i,title480,description651,category5
725i,title507,description1032,category2
749i,title353,description169,category11
3i,title76,description421,category24
588i,title851,description102,category33
424i,title518,description1299,category13
904i,title378,description293,category43
425i,title962,description32,category6
487i,title136,description899,category45
655i,title269,description1143,category49
66i,title266,description138,category23
753i,title778,description1058,category7
1135i,title454,description845,category22
536i,title900,description780,category2
515i,title424,description182,category47
171i,title945,description629,category24
836i,title1251,description6,category4
637i,title463,description238,category34
1024i,title145,description967,category41
415i,title561,description1217,category35
1068i,title899,description801,category14
171i,title1054,description801,category28
232i,title201,description656,category4
736i,title738,description115,category24
498i,title628,description1179,category31
295i,title508,description294,category29
312i,title1134,description1252,category41
826i,title635,description16,category29
115i,title250,description1017,category22
685i,title1256,description468,category5
1217i,title496,description190,category17
1055i,title884,description244,category33
614i,title327,description443,category22
1059i,title1234,description364,category41
632i,title402,description1041,category5
965i,title583,description596,category14
771i,title64,description693,category49
75i,title979,description658,category27
513i,title731,description619,category23
629i,title693,description806,category14
433i,title507,description1147,category46
759i,title772,description1128,category26
686i,title1131,description517,category24
1107i,title946,description786,category9
33i,title707,description514,category3
1130i,title491,description688,category39
527i,title28,description512,category37
1117i,title1273,description1082,category46
1168i,title339,description1148,category14
1231i,title335,description1009,category29
277i,title290,description317,category23
467i,title710,description1140,category21
701i,title865,description23,category34
490i,title49,description965,category17
972i,title645,description922,category1
405i,title602,description536,category20
4i,title1021,description777,category24
586i,title398,description839,category6
651i,title970,description400,category10
1219i,title1136,description471,category42
946i,title289,description29,category34
833i,title1019,description320,category2
1220i,title931,description35,category28
830i,title933,description1059,category6
301i,title1298,description119,category40
850i,title476,description282,category29
427i,title1110,description1196,category27
1073i,title109,description798,category47
1230i,title970,description973,category19
69i,title870,description1046,category2
1241i,title880,description122,category10
1103i,title538,description1290,category14
21i,title1219,description379,category7
1271i,title1210,description1223,category11
979i,title389,description831,category31
157i,title1205,description1141,category35
92i,title1258,description760,category32
88i,title906,description1268,category22
1198i,title1086,description1049,category28
661i,title100,description155,category34
776i,title912,description1244,category10
911i,title611,description1130,category26
989i,title703,description1267,category13
641i,title544,description780,category15
25i,title990,description728,category14
680i,title720,description1152,category42
491i,title652,description621,category20
1089i,title800,description347,category8
777i,title955,description1153,category30
710i,title1021,description468,category2
542i,title891,description1281,category8
490i,title1203,description1104,category33
790i,title1077,description115,category43
361i,title597,description1097,category37
16i,title350,description1032,category2
621i,title439,description617,category34
1036i,title641,description692,category38
1006i,title128,description740,category24
873i,title1108,description564,category33
1228i,title1164,description1250,category1
901i,title369,description339,category19
530i,title798,description1202,category4
703i,title946,description579,category34
336i,title1074,description543,category33
786i,title709,description1006,category49
1i,title825,description362,category4
808i,title1008,description491,category32
244i,title1156,description188,category36
100i,title215,description813,category38
180i,title761,description1199,category19
772i,title942,description949,category21
840i,title1261,description753,category46
377i,title855,description106,category45
200i,title374,description636,category28
1248i,title498,description1246,category13
884i,title325,description556,category31
96i,title576,description754,category13
178i,title633,description1046,category31
168i,title1191,description339,category43
327i,title671,description307,category19
271i,title1055,description23,category8
594i,title873,description503,category49
237i,title451,description400,category7
418i,title1273,description33,category9
521i,title1153,description1189,category37
394i,title229,description723,category25
668i,title1141,description7,category19
196i,title988,description1221,category38
1223i,title95,description575,category39
677i,title208,description588,category7
1104i,title1288,description369,category25
511i,title284,description695,category4
706i,title940,description952,category17
846i,title1194,description433,category20
1084i,title230,description1003,category5
442i,title909,description885,category7
1013i,title1159,description1029,category24
69i,title988,description240,category49
1180i,title1292,description419,category22
55i,title229,description1109,category29
495i,title64,description150,category27
1153i,title1268,description672,category40
876i,title668,description1227,category21
1293i,title1115,description351,category45
232i,title848,description1288,category27
936i,title1234,description230,category4
348i,title1297,description1119,category43
983i,title704,description167,category7
1077i,title1213,description1011,category36
439i,title264,description880,category17
382i,title278,description1170,category23
493i,title485,description1079,category1
828i,title184,description1010,category37
462i,title1012,description181,category13
184i,title284,description1283,category17
779i,title1016,description552,category48
198i,title1116,description776,category22
46i,title353,description1282,category30
490i,title831,description1228,category13
608i,title172,description19,category7
438i,title904,description508,category16
881i,title910,description830,category34
1031i,title734,description691,category19
768i,title757,description1131,category27
58i,title1007,description496,category35
964i,title253,description603,category10
843i,title731,description87,category15
671i,title346,description611,category1
739i,title59,description43,category7
250i,title65,description711,category7
506i,title916,description103,category20
561i,title97,description309,category38
1277i,title906,description26,category13
1261i,title1166,description655,category18
615i,title1016,description626,category7
246i,title767,description41,category20
348i,title840,description1194,category15
425i,title303,description756,category35
47i,title745,description573,category16
2i,title1055,description925,category5
662i,title1122,description3,category23
1012i,title163,description560,category20
532i,title659,description596,category3
1250i,title798,description467,category33
691i,title1063,description842,category25
1170i,title747,description297,category35
363i,title1095,description599,category40
638i,title540,description1032,category5
551i,title749,description523,category40
1062i,title45,description24,category36
852i,title630,description793,category39
789i,title208,description481,category34
731i,title21,description122,category45
1291i,title1278,description14,category13
675i,title672,description331,category49
1132i,title1140,description676,category32
127i,title753,description923,category29
744i,title1060,description1260,category34
360i,title92,description714,category28
1232i,title198,description87,category49
299i,title179,description678,category6
815i,title703,description629,category5
1175i,title745,description257,category2
1237i,title1161,description737,category46
604i,title908,description968,category10
265i,title776,description725,category12
401i,title900,description667,category35
117i,title740,description867,category20
444i,title512,description46,category2
286i,title970,description848,category2
128i,title458,description504,category22
1216i,title333,description764,category29
901i,title871,description294,category3
1055i,title96,description318,category39
1029i,title134,description499,category28
59i,title815,description268,category28
936i,title590,description688,category32
1298i,title265,description662,category4
924i,title645,description1016,category6
25i,title833,description983,category2
473i,title1272,description1113,category12
706i,title136,description657,category47
1059i,title17,description705,category1
275i,title497,description571,category49
408i,title723,description757,category34
987i,title867,description366,category39
590i,title735,description915,category43
536i,title141,description175,category31
72i,title1209,description208,category2
1161i,title66,description2,category35
1144i,title1242,description1121,category41
578i,title1082,description939,category13
384i,title1049,description222,category46
873i,title1212,description1061,category19
1253i,title686,description1018,category23
820i,title171,description240,category23
71i,title916,description760,category44
635i,title440,description185,category40
746i,title1084,description824,category7
1199i,title509,description275,category24
8i,title499,description564,category32
1125i,title1220,description535,category30
184i,title199,description877,category40
723i,title1243,description626,category46
415i,title696,description596,category45
1207i,title992,description757,category3
1011i,title171,description613,category31
617i,title463,description393,category31
260i,title15,description32,category35
499i,title555,description275,category10
1003i,title1241,description911,category38
227i,title890,description85,category32
663i,title1157,description634,category3
216i,title677,description938,category12
1047i,title1292,description638,category26
982i,title400,description93,category44
1265i,title365,description754,category19
182i,title1159,description582,category32
124i,title140,description1120,category28
1152i,title398,description971,category31
963i,title277,description1208,category28
974i,title277,description1245,category9
1130i,title1118,description1139,category28
151i,title467,description1236,category27
941i,title507,description549,category44
910i,title501,description892,category34
1062i,title962,description448,category28
579i,title1120,description9,category6
89i,title276,description3,category9
760i,title697,description123,category37
846i,title274,description130,category35
566i,title568,description1109,category5
370i,title568,description1288,category1
445i,title589,description573,category41
881i,title1058,description796,category34
514i,title1294,description249,category21
837i,title887,description504,category26
68i,title157,description1044,category20
758i,title1094,description172,category36
1090i,title974,description302,category47
674i,title634,description183,category35
662i,title409,description997,category3
787i,title772,description111,category42
220i,title560,description504,category1
477i,title1059,description948,category37
555i,title508,description1143,category4
172i,title1278,description863,category34
1247i,title889,description1148,category32
1297i,title630,description441,category37
182i,title859,description1090,category30
1198i,title1215,description507,category24
639i,title352,description1082,category16
60i,title599,description1091,category26
144i,title723,description781,category19
269i,title1242,description511,category7
840i,title1108,description978,category27
1293i,title284,description884,category47
754i,title552,description699,category9
719i,title745,description116,category9
61i,title339,description606,category1
475i,title427,description137,category29
113i,title82,description513,category16
309i,title932,description1192,category49
761i,title373,description260,category5
1152i,title234,description330,category18
149i,title752,description687,category4
330i,title146,description364,category38
111i,title547,description109,category46
1232i,title127,description459,category43
409i,title76,description438,category41
462i,title621,description62,category47
1116i,title1097,description891,category3
163i,title550,description953,category33
268i,title783,description382,category48
436i,title91,description89,category7
95i,title402,description1218,category32
1164i,title1093,description788,category19
1086i,title976,description1080,category48
820i,title711,description563,category44
170i,title879,description706,category35
1048i,title968,description1081,category24
885i,title911,description669,category21
409i,title262,description1225,category21
226i,title467,description1228,category9
1032i,title344,description479,category34
726i,title627,description746,category3
554i,title998,description88,category7
412i,title121,description395,category29
129i,title782,description42,category32
725i,title1151,description300,category36
1258i,title1058,description302,category30
1284i,title669,description32,category47
979i,title121,description1030,category25
380i,title49,description473,category22
239i,title1214,description991,category8
1175i,title946,description1101,category34
1129i,title262,description1008,category28
240i,title501,description313,category12
655i,title427,description1210,category15
842i,title1037,description957,category16
313i,title961,description926,category7
230i,title573,description651,category39
783i,title242,description372,category9
126i,title1173,description697,category4
1266i,title1251,description286,category22
221i,title599,description1106,category27
452i,title107,description629,category24
510i,title82,description212,category45
800i,title950,description412,category26
241i,title1289,description1156,category34
2i,title938,description1133,category22
92i,title704,description1286,category38
782i,title181,description666,category32
880i,title1295,description1252,category29
420i,title906,description574,category29
235i,title623,description1170,category13
699i,title1055,description670,category42
1159i,title1217,description953,category46
748i,title652,description1109,category18
258i,title594,description340,category19
367i,title1276,description377,category10
1177i,title439,description1081,category37
591i,title1264,description941,category27
1196i,title55,description248,category32
1012i,title446,description1143,category34
717i,title91,description1052,category20
769i,title513,description1125,category5
1174i,title95,description1150,category7
687i,title630,description711,category38
800i,title1206,description1221,category13
374i,title989,description722,category9
621i,title632,description721,category29
723i,title1103,description632,category8
948i,title570,description740,category17
978i,title850,description398,category43
364i,title445,description205,category36
1062i,title661,description1004,category6
917i,title400,description735,category10
422i,title376,description1259,category5
741i,title722,description979,category2
916i,title778,description954,category47
23i,title1109,description278,category48
75i,title907,description1276,category14
1290i,title90,description302,category17
254i,title266,description958,category9
366i,title657,description1009,category29
1092i,title977,description35,category24
784i,title945,description837,category15
1046i,title437,description1267,category10
903i,title484,description569,category1
528i,title237,description194,category14
533i,title269,description436,category20
1250i,title808,description482,category43
1043i,title498,description604,category48
1190i,title189,description1041,category14
1117i,title1192,description891,category46
639i,title435,description713,category49
1058i,title996,description304,category47
347i,title282,description1290,category3
284i,title895,description1288,category4
192i,title1042,description472,category17
1017i,title398,description1257,category21
1120i,title1079,description384,category6
661i,title681,description1076,category3
1174i,title92,description666,category22
1020i,title400,description581,category38
9i,title692,description943,category41
557i,title1041,description899,category14
311i,title1033,description686,category7
497i,title783,description1233,category48
883i,title535,description82,category49
1297i,title428,description494,category14
958i,title1193,description867,category30
894i,title952,description669,category29
683i,title164,description627,category7
146i,title392,description1103,category26
208i,title409,description328,category26
431i,title749,description908,category28
141i,title335,description284,category28
540i,title501,description674,category48
93i,title463,description424,category38
879i,title575,description915,category16
1085i,title121,description436,category49
1256i,title790,description287,category15
135i,title124,description91,category27
1104i,title769,description374,category15
406i,title1206,description913,category32
1194i,title567,description200,category15
1004i,title419,description989,category40
107i,title511,description221,category19
1290i,title641,description295,category20
251i,title412,description1104,category24
154i,title567,description593,category35
646i,title507,description858,category28
5i,title1251,description458,category10
685i,title688,description1122,category44
1292i,title1037,description927,category29
621i,title1138,description796,category6
694i,title908,description1223,category26
4i,title433,description1131,category48
1299i,title581,description17,category46
469i,title723,description554,category25
994i,title783,description870,category25
490i,title855,description1143,category46
1268i,title317,description71,category31
581i,title793,description715,category20
238i,title1215,description996,category29
1180i,title371,description1166,category2
421i,title667,description358,category46
795i,title368,description1245,category37
1090i,title198,description403,category7
1121i,title172,description59,category1
1124i,title8,description371,category1
306i,title1154,description119,category29
712i,title1199,description892,category8
625i,title74,description926,category13
315i,title965,description315,category37
322i,title676,description723,category4
109i,title22,description1006,category14
182i,title1255,description6,category14
1153i,title549,description651,category4
873i,title1018,description589,category23
285i,title277,description131,category27
422i,title980,description432,category21
1015i,title591,description1064,category13
888i,title200,description676,category22
628i,title654,description350,category28
1072i,title563,description414,category1
1135i,title690,description167,category48
400i,title1064,description673,category46
453i,title539,description1040,category7
268i,title213,description920,category28
6i,title273,description960,category5
1002i,title301,description1118,category38
44i,title269,description1087,category20
1119i,title398,description758,category4
990i,title83,description172,category22
109i,title103,description687,category2
89i,title679,description159,category22
596i,title27,description995,category31
900i,title446,description1208,category32
1150i,title986,description962,category15
1072i,title163,description802,category16
398i,title785,description317,category2
884i,title94,description565,category35
934i,title1046,description164,category41
158i,title1208,description465,category4
1108i,title548,description444,category12
268i,title1211,description570,category19
525i,title867,description402,category22
876i,title392,description171,category19
1036i,title313,description319,category44
205i,title204,description166,category26
935i,title911,description396,category33
837i,title1059,description1011,category45
265i,title1228,description402,category3
323i,title448,description1082,category12
25i,title1208,description1004,category20
539i,title1079,description1073,category22
846i,title361,description473,category42
858i,title171,description1294,category48
1i,title1239,description44,category39
1119i,title444,description955,category5
654i,title1152,description1139,category36
438i,title2,description1037,category46
1244i,title809,description90,category22
950i,title1073,description947,category36
1077i,title1229,description1072,category48
241i,title1099,description29,category10
732i,title470,description1293,category47
674i,title512,description820,category8
411i,title893,description362,category18
469i,title1009,description300,category23
891i,title842,description95,category48
1085i,title381,description614,category22
798i,title143,description149,category2
561i,title58,description804,category9
95i,title963,description277,category23
385i,title491,description233,category42
775i,title1123,description1114,category24
208i,title114,description1115,category6
751i,title741,description1070,category8
1174i,title1232,description750,category5
449i,title911,description1286,category44
611i,title836,description839,category48
942i,title276,description165,category1
393i,title2,description1203,category39
103i,title1178,description528,category4
173i,title701,description255,category1
315i,title450,description890,category11
415i,title438,description76,category36
162i,title1231,description734,category18
80i,title34,description1232,category46
1176i,title604,description908,category34
938i,title984,description24,category20
252i,title992,description326,category36
154i,title974,description1256,category16
1141i,title387,description602,category16
656i,title77,description779,category32
927i,title477,description256,category17
978i,title786,description208,category25
5i,title517,description1261,category33
1179i,title449,description371,category24
190i,title655,description734,category42
872i,title1066,description1194,category41
1092i,title121,description383,category30
461i,title959,description771,category6
1042i,title861,description1153,category44
422i,title395,description414,category41
882i,title817,description1096,category33
935i,title1185,description50,category26
271i,title344,description1175,category34
1012i,title25,description533,category33
786i,title257,description649,category2
664i,title117,description204,category38
1240i,title407,description144,category3
147i,title336,description1104,category43
974i,title145,description983,category24
339i,title928,description608,category20
715i,title357,description1249,category16
795i,title770,description115,category49
188i,title878,description1077,category49
991i,title1028,description541,category22
359i,title607,description265,category4
91i,title1183,description196,category2
729i,title625,description1218,category42
118i,title543,description107,category27
320i,title751,description1059,category4
1065i,title806,description1229,category12
779i,title957,description197,category39
381i,title824,description1108,category15
90i,title461,description957,category46
668i,title92,description829,category36
1002i,title528,description984,category8
271i,title669,description996,category32
566i,title777,description975,category7
1092i,title650,description526,category2
725i,title338,description727,category17
1006i,title880,description203,category22
106i,title972,description415,category3
171i,title110,description212,category13
572i,title1056,description28,category25
1078i,title274,description402,category16
231i,title105,description208,category1
194i,title3,description619,category26
1062i,title302,description65,category19
1219i,title591,description634,category28
937i,title365,description1251,category16
933i,title1215,description485,category10
832i,title1077,description4,category48
945i,title892,description448,category18
